Provider,Name,Fair Usage (GB),Download Speed (Mbps),Upload Speed (Mbps),Price Initial,GST,Price
Ooredoo,5M,30,5,5,349,0.06,369.94
Ooredoo,15M,75,15,15,549,0.06,581.94
Ooredoo,25M,120,25,20,749,0.06,793.94
Ooredoo,35M,200,35,25,1049,0.06,1111.94
Ooredoo,50M,420,50,30,1449,0.06,1535.94
Ooredoo,100M,650,100,50,2049,0.06,2171.94
Ooredoo,1G,3072,1000,100,6990,0.06,7409.40
Dhiraagu,5M,40,5,5,350,0.06,371.00
Dhiraagu,10M Basic,55,10,10,400,0.06,424.00
Dhiraagu,10M More,70,10,10,490,0.06,519.40
Dhiraagu,15M Basic,100,15,15,690,0.06,731.40
Dhiraagu,25M Basic,200,25,20,990,0.06,1049.40
Dhiraagu,50M,420,50,25,1490,0.06,1579.40
Dhiraagu,100M,600,100,50,1990,0.06,2109.40
Dhiraagu,200M,950,200,75,2990,0.06,3169.40
Dhiraagu,1G,3000,1000,100,6990,0.06,7409.40
ROL,6M,40,6,6,399,0.06,422.94
ROL,10M,80,10,10,690,0.06,731.40
ROL,12M,130,12,12,949,0.06,1005.94
ROL,15M,250,15,15,1190,0.06,1261.40
ROL,25M,375,25,25,1390,0.06,1473.40
ROL,50M,500,50,50,1690,0.06,1791.40
ROL,100M,750,100,100,2290,0.06,2427.40
ROL,100M Plus,1000,100,100,2900,0.06,3074.00
